"source","target","sectionlength"
"UKN3245","UKN1927","14.608"
"UKN2156","UKN1852","7.389"
"UKN4670","UKN4699","2.009"
"UKN4671","UKN3094","0.934"
"UKN2988","UKN3510","7.389"
"UKN4435","UKN1818","0.282"
"UKN4669","UKN1119","8.01"
"UKN1927","UKN3211","10.92"
"UKN1927","UKN5132","0.239"
"UKN1869","UKN3295","2.734"
"UKN1252","UKN1869","1.301"
"UKN3295","UKN2967","1.165"
"UKN1300","UKN7547","0.873"
"UKN7547","UKN2274","0.633"
"UKN2967","UKN1300","1.728"
"UKN1490","UKN1948","10.009"
"UKN2440","UKN4177","0.395"
"UKN2668","UKN2440","1.646"
"UKN5025","UKN2668","1.252"
"UKN5024","UKN5022","10.868"
"UKN4286","UKN7095","2.43"
"UKN5022","UKN1490","0.452"
"UKN5021","UKN4286","0.485"
"UKN4495","UKN7089","0.427"
"UKN1354","UKN5021","0.365"
"UKN4177","UKN1158","3.886"
"UKN7095","UKN4495","17.633"
"UKN2274","UKN5025","1.227"
"UKN1093","UKN5024","0.377"
"UKN5023","UKN1354","3.953"
"UKN1158","UKN5023","1.974"
"UKN7089","UKN1093","17.191"
"UKN1651","UKN1156","5.384"
"UKN7926","UKN1651","5.863"
"UKN7426","UKN1141","1.511"
"UKN2265","UKN7426","10.923"
"UKN1327","UKN3438","1.074"
"UKN3251","UKN1913","6.699"
"UKN2469","UKN2470","0.719"
"UKN1913","UKN2469","1.052"
"UKN3438","UKN2945","2.221"
"UKN2945","UKN3251","1.153"
"UKN2618","UKN1161","2.348"
"UKN1161","UKN1168","3.451"
"UKN3228","UKN1968","2.639"
"UKN3291","UKN3228","4.034"
"UKN1968","UKN2618","3.142"
"UKN1652","UKN1259","6.038"
"UKN1803","UKN1652","6.046"
"UKN1351","UKN1803","4.862"
"UKN2025","UKN1351","1.827"
"UKN1285","UKN2025","3.013"
"UKN4799","UKN1318","1.373"
"UKN1245","UKN1189","2.128"
"UKN1619","UKN8310","1.261"
"UKN8029","UKN3383","0.435"
"UKN3153","UKN5410","0.601"
"UKN3153","UKN8258","1.115"
"UKN8258","UKN8029","0.496"
"UKN8308","UKN1245","1.165"
"UKN8310","UKN8308","0.276"
"UKN1930","UKN1619","1.162"
"UKN3383","UKN1930","1.509"
"UKN7801","UKN1853","0.231"
"UKN5014","UKN2236","1.843"
"UKN1853","UKN1301","1.571"
"UKN2364","UKN2543","2.323"
"UKN1276","UKN7801","1.363"
"UKN2543","UKN3124","1.832"
"UKN1106","UKN2881","2.707"
"UKN2236","UKN1190","5.016"
"UKN3462","UKN1106","1.525"
"UKN2881","UKN2364","3.026"
"UKN1190","UKN1191","1.097"
"UKN1301","UKN3462","3.268"
"UKN3124","UKN5014","0.977"
"UKN1283","UKN5268","0.235"
"UKN1154","UKN1283","5.614"
"UKN4049","UKN7938","1.937"
"UKN8334","UKN8333","0.031"
"UKN8335","UKN8334","1.02"
"UKN2871","UKN1041","1.824"
"UKN1638","UKN2871","2.666"
"UKN1041","UKN1133","1.921"
"UKN4411","UKN7843","0.192"
"UKN8105","UKN4411","0.941"
"UKN5087","UKN1263","0.452"
"UKN7831","UKN5265","3.016"
"UKN5265","UKN7096","0.889"
"UKN1601","UKN8063","1.76"
"UKN1167","UKN1165","1.189"
"UKN7292","UKN1407","0.421"
"UKN4024","UKN7817","0.357"
"UKN1158","UKN1054","2.734"
"UKN1054","UKN2864","5.142"
"UKN2088","UKN2537","3.142"
"UKN1683","UKN2623","2.411"
"UKN1654","UKN3478","0.866"
"UKN1700","UKN4973","4.088"
"UKN4973","UKN1404","0.594"
"UKN1471","UKN1700","3.701"
"UKN3478","UKN4614","1.124"
"UKN4614","UKN2088","0.585"
"UKN1899","UKN3404","2.094"
"UKN3404","UKN1471","6.085"
"UKN2537","UKN1683","2.898"
"UKN2623","UKN1899","1.851"
"UKN7624","UKN1654","1.196"
"UKN1404","UKN4615","0.068"
"UKN7506","UKN4643","0.53"
"UKN3316","UKN3315","0.521"
"UKN2612","UKN5125","0.043"
"UKN3315","UKN2612","2.026"
"UKN7506","UKN3316","1.709"
"UKN3474","UKN4771","2.313"
"UKN1230","UKN1150","1.883"
"UKN1827","UKN3356","1.714"
"UKN8596","UKN2257","1.124"
"UKN1794","UKN1827","1.876"
"UKN1150","UKN8597","1.898"
"UKN2357","UKN1261","1.457"
"UKN3356","UKN1230","2.219"
"UKN1261","UKN8596","0.459"
"UKN8597","UKN3023","0.579"
"UKN2257","UKN1794","1.987"
"UKN3095","UKN2357","0.762"
"UKN1892","UKN1117","1.471"
"UKN7043","UKN1892","7.947"
"UKN1308","UKN7041","3.373"
"UKN1117","UKN1308","2.116"
"UKN8524","UKN8525","1.188"
"UKN1276","UKN7801","1.258"
"UKN8079","UKN1276","1.498"
"UKN7984","UKN8195","0.622"
"UKN8195","UKN8197","0.416"
"UKN4333","UKN4703","1.627"
"UKN1527","UKN8064","0.856"
"UKN2379","UKN1704","16.217"
"UKN4022","UKN8515","0.961"
"UKN8515","UKN1792","1.985"
"UKN4124","UKN4701","1.608"
"UKN4701","UKN2908","2.325"
"UKN3424","UKN4706","0.659"
"UKN3341","UKN1796","15.114"
"UKN3322","UKN8074","1.63"
"UKN1225","UKN1418","0.947"
"UKN3113","UKN4022","0.719"
"UKN2051","UKN4704","0.54"
"UKN2051","UKN2948","3.48"
"UKN8526","UKN1419","4.228"
"UKN1704","UKN3348","7.732"
"UKN1419","UKN4333","2.383"
"UKN1419","UKN5431","0.628"
"UKN1114","UKN1979","6.518"
"UKN1418","UKN2428","1.058"
"UKN2052","UKN4021","0.329"
"UKN1494","UKN1364","5.025"
"UKN1364","UKN5430","0.069"
"UKN1364","UKN4124","0.701"
"UKN2428","UKN8059","0.416"
"UKN4021","UKN2051","2.53"
"UKN4703","UKN3341","4.553"
"UKN2011","UKN1527","1.463"
"UKN1255","UKN3113","4.658"
"UKN1255","UKN5392","0.355"
"UKN2908","UKN2052","4.291"
"UKN8064","UKN8066","0.637"
"UKN2637","UKN1114","2.852"
"UKN4705","UKN2379","6.866"
"UKN4706","UKN2980","4.878"
"UKN5396","UKN3424","1.806"
"UKN1796","UKN5418","0.292"
"UKN1796","UKN4705","2.232"
"UKN1801","UKN3322","1.655"
"UKN1792","UKN2637","6.998"
"UKN2785","UKN1335","1.422"
"UKN1062","UKN2785","3.448"
"UKN1979","UKN5396","3.528"
"UKN8059","UKN2011","0.582"
"UKN8074","UKN1494","0.36"
"UKN8600","UKN2273","0.399"
"UKN8068","UKN3259","0.836"
"UKN2671","UKN1062","1.304"
"UKN8066","UKN8068","1.036"
"UKN2948","UKN1255","5.985"
"UKN1335","UKN1801","1.702"
"UKN3348","UKN8600","9.189"
"UKN3259","UKN2671","1.388"
"UKN2980","UKN8526","0.946"
"UKN1948","UKN7078","1.745"
"UKN1415","UKN7067","3.995"
"UKN7067","UKN3507","19.017"
"UKN3507","UKN7052","0.532"
"UKN7078","UKN7072","8.258"
"UKN7072","UKN1415","8.851"
"UKN7052","UKN5183","3.951"
"UKN1036","UKN4823","0.731"
"UKN1036","UKN2538","3.052"
"UKN3219","UKN1036","5.707"
"UKN3219","UKN5298","0.948"
"UKN5272","UKN7039","3.665"
"UKN3215","UKN4822","3.851"
"UKN4822","UKN2630","0.708"
"UKN2764","UKN5272","5.815"
"UKN2538","UKN3215","4.547"
"UKN4821","UKN2631","0.389"
"UKN2630","UKN4821","0.701"
"UKN8027","UKN3219","5.562"
"UKN1195","UKN4042","0.311"
"UKN2631","UKN2282","8.664"
"UKN2187","UKN1195","7.86"
"UKN2282","UKN2187","4.921"
"UKN4042","UKN2764","14.022"
"UKN7876","UKN8119","1.297"
"UKN8310","UKN7771","0.635"
"UKN8308","UKN7771","0.425"
"UKN2830","UKN5137","7.325"
"UKN5073","UKN5121","0.374"
"UKN1223","UKN5073","1.234"
"UKN5121","UKN3320","0.741"
"UKN3320","UKN7103","0.986"
"UKN8097","UKN2361","0.48"
"UKN4566","UKN8097","6.504"
"UKN2362","UKN8223","0.228"
"UKN8223","UKN8101","8.455"
"UKN2361","UKN2362","1.794"
"UKN2575","UKN1312","5.339"
"UKN2857","UKN8027","1.675"
"UKN2856","UKN5253","0.859"
"UKN5253","UKN4926","0.295"
"UKN4926","UKN2857","0.185"
"UKN8027","UKN2575","8.605"
"UKN1312","UKN1170","7.873"
"UKN8136","UKN4581","7.843"
"UKN7896","UKN4582","5.915"
"UKN7881","UKN4583","15.344"
"UKN8284","UKN8136","0.817"
"UKN4583","UKN7896","2.69"
"UKN4582","UKN8284","0.439"
"UKN3005","UKN2315","3.833"
"UKN2804","UKN1864","1.054"
"UKN1038","UKN2804","1.613"
"UKN3389","UKN5316","0.017"
"UKN3389","UKN1740","1.011"
"UKN8201","UKN7742","0.432"
"UKN3066","UKN3005","2.395"
"UKN1334","UKN2175","2.043"
"UKN1864","UKN3066","1.278"
"UKN1760","UKN3492","1.453"
"UKN1963","UKN1063","3.947"
"UKN2175","UKN1038","0.862"
"UKN2175","UKN5420","0.077"
"UKN1740","UKN1963","1.484"
"UKN1063","UKN8201","5.62"
"UKN2315","UKN1760","2.31"
"UKN3492","UKN3389","1.533"
"UKN7742","UKN4002","1.646"
"UKN4002","UKN2377","0.35"
"UKN8330","UKN8127","0.95"
"UKN5182","UKN1338","0.472"
"UKN5245","UKN2463","7.139"
"UKN2463","UKN2462","0.654"
"UKN1276","UKN4340","1.291"
"UKN7091","UKN3486","0.642"
"UKN8545","UKN4199","0.553"
"UKN2506","UKN8543","6.413"
"UKN3319","UKN2506","4.39"
