"source","target","trackspeed"
"DEBBIKW","DE98205","100.0"
"DE98209","DEBBIKO","60.0"
"DEBBIKM","DEBBIKO","80.0"
"DEBBIKS","DEBBIKL","100.0"
"DE98221","DEBBIKW","100.0"
"DEBBIKL","DEBBIKO","100.0"
"DEBBIKW","DEBBIKL","100.0"
"DE98226","DE98228","80.0"
"DE98231","DEYBBIK","120.0"
"DEBBIKS","DEBBIKM","120.0"
"DE98233","DE98232","160.0"
"DE98267","DE98268","120.0"
"DE98273","DE98275","120.0"
"DEYBBHN","DE98273","120.0"
"DE98294","DE98296","230.0"
"DE98312","DE98311","80.0"
"DE98351","DE98338","160.0"
"DE98367","DE98365","120.0"
"DEBSE B","DE98371","160.0"
"DE98371","DE98372","160.0"
"DE98390","DEBSE B","60.0"
"DEBSE B","DE98354","60.0"
"DE98390","DE98371","60.0"
"DEBSE B","DE98396","60.0"
"DEBSE W","DE98396","60.0"
"DEBAG W","DEBAG O","160.0"
"DEBGK S","DEBGK N","120.0"
"DEBAG S","DEBAG W","80.0"
"DE98455","DE98221","60.0"
"DEBGK W","DE98466","100.0"
"DEBGK W","DEBGK S","100.0"
"DE98484","DEBGK S","60.0"
"DE98466","DE98484","80.0"
"DE98484","DEBGK N","80.0"
"DE98500","DE98502","120.0"
"DE98514","DEBHLRS","100.0"
"DE98514","DEBPAFS","60.0"
"DE98279","DE98523","40.0"
"DE98528","DE98443","40.0"
"DE98561","DE98559","60.0"
"DE98561","DE98472","60.0"
"EU00049","DE98593","80.0"
"EU00049","DE98593","80.0"
"DEDAF N","DEDAF W","110.0"
"DE98644","DE98642","80.0"
"DE98730","DEUG  G","80.0"
"DEUE  O","DEUE  F","60.0"
"DEUGO K","DEUGO O","40.0"
"DE98781","DEWM  B","70.0"
"DEUE  L","DEUE  O","160.0"
"DELSUEA","DE98816","100.0"
"DE98841","DELEGOB","120.0"
"DE98850","DE98848","80.0"
"DE98848","DE98853","80.0"
"DE98906","DE98907","60.0"
"DELLW V","DE98927","60.0"
"DELLW V","DEYLLWI","60.0"
"DE98730","DEUG  T","100.0"
"DE98837","DE98949","60.0"
"DE98871","DELL  N","100.0"
"DE98957","DELSD U","50.0"
"DE98946","DELLW L","120.0"
"DE98823","DE98981","80.0"
"DE98906","DE98972","80.0"
"DE98957","DE98946","120.0"
"DE98998","DE98575","160.0"
"DE99002","DE98949","200.0"
"DE98852","DE98850","80.0"
"EU00045","DE98612","40.0"
"EU00046","EU00047","50.0"
"EU00046","EU00047","50.0"
"EU00046","EU00047","50.0"
"EU00046","EU00047","50.0"
"DELF  U","DELF  O","40.0"
"DELF  W","DELF  S","30.0"
"DELF  O","DELF  F","30.0"
"DE99152","DELBK N","40.0"
"DE99177","DEWM  E","50.0"
"DE0KKDZ","DE96378","70.0"
"DE00KKM","DE0KKMN","130.0"
"DE0KKMN","DE0KBKS","130.0"
"DE96309","DE00KKM","90.0"
"DE00KKH","DE0KKDB","120.0"
"DE0KDUK","DE0KBGG","120.0"
"DE0KHOS","DE00KKH","120.0"
"DE0KKDB","DE0KDUK","120.0"
"DE96395","DE0KHOS","80.0"
"DE00KKM","DE96394","60.0"
"DE0KKAN","DE00KKM","60.0"
"DE96394","DE0KKMN","60.0"
"DE000KG","DE00KGS","40.0"
"DE00KGN","DE000KG","40.0"
"DE95976","DE00KGN","40.0"
"DE96389","DE00KKD","40.0"
"DE0KWER","DE0KOPL","60.0"
"DE00KDE","DE00KHI","140.0"
"DE00KWL","DE95707","100.0"
"DE96434","DE00KWL","60.0"
"DE00ENV","DE0ELBG","120.0"
"DE00KWV","DE0KDOP","120.0"
"DE0EEKU","DE0EEKH","100.0"
"DE0ELBG","DE0ENIR","80.0"
"DE0ENIR","DE0EEKU","100.0"
"DE0EVLR","DE00ENV","120.0"
"DE0EWAP","DE0EVLR","120.0"
"DE0KDOP","DE0EWAP","120.0"
"DE00FRB","DE00FHG","110.0"
"DE0EGVB","DE0EMEG","110.0"
"DE0EHOG","DE00ELE","100.0"
"DE0EHTG","DE00ESW","120.0"
"DE0ELTF","DE0EEHS","110.0"
"DE0EMEG","DE000EA","80.0"
"DE0EPLT","DE00EFP","110.0"
"DE0EWSE","DE0ELTF","110.0"
"DE0FDBT","DE00FRB","110.0"
"DE96454","DE00EKT","110.0"
"DE000EA","DE0EKHU","80.0"
"DE00EFP","DE0EGVB","110.0"
"DE00EHG","DE0EHGK","120.0"
"DE00EKT","DE0EHTG","120.0"
"DE00ELE","DE96451","100.0"
"DE00ESW","DE96455","90.0"
"DE0EALN","DE0EWHL","100.0"
"DE0EEHS","DE96454","110.0"
"DE0EHGH","DE0EHOG","120.0"
"DE0EHGK","DE0EHGH","120.0"
"DE0EKHU","DE0EWSE","90.0"
"DE0ENDI","DE0ERUD","100.0"
"DE0ERUD","DE0FDBT","110.0"
"DE0ESIG","DE0ENDI","100.0"
"DE0EWHL","DE0EPLT","110.0"
"DE96455","DE0ESIG","90.0"
"DE00EHG","DE96460","100.0"
"DE0EDBA","DE0EDFD","140.0"
"DE0EDFD","DE00EDO","80.0"
"DE0EDKR","DE0EDBA","140.0"
"DE0EHGV","DE0EWET","120.0"
"DE0EWET","DE0EWIT","140.0"
"DE0EWIA","DE0EDKR","140.0"
"DE0EWIT","DE0EWIA","140.0"
"DE96460","DE0EHGV","120.0"
"DE0EHGP","DE0EGVG","50.0"
"DE0EEIN","DE0EHGS","80.0"
"DE0EHGS","DE0EHOY","60.0"
"DEEHGVW","DE0EHGV","60.0"
"DE00EIL","DE0EILH","90.0"
"DE0EERG","DE0ESRT","100.0"
"DE0EHNE","DE0EERG","100.0"
"DE0EILH","DE0EKAL","100.0"
"DE0EKAL","DE0EHNE","100.0"
"DE0EHOY","DE96475","60.0"
"DE0EARE","DE0EFRM","60.0"
"DE0EFOE","DE0EARE","60.0"
"DE0EFRM","DE00EUN","60.0"
"DE00EGG","DE0EBRS","50.0"
"DE00EPD","DE0EPDG","50.0"
"DE0EBRS","DE0EBRW","70.0"
"DE0ERKS","DE00EGG","50.0"
"DE000HA","DE0HAAK","80.0"
"DE0HAAK","DE0HBUK","160.0"
"DE0HBNB","DE0HWAR","130.0"
"DE0HBUK","DE0HWBD","160.0"
"DE0HWBD","DE0HBNB","160.0"
"DE0HAAT","DE0HAAK","60.0"
"DE00HHX","DE00HLN","110.0"
"DE00HLN","DE0HHZM","110.0"
"DE0HBDG","DE0HHER","100.0"
"DE0HBKH","DE0HOTT","100.0"
"DE0HBKL","DE0HBKH","100.0"
"DE0HGOH","DE0HHXR","120.0"
"DE0HHER","DE0HBKL","100.0"
"DE0HHXR","DE00HHX","100.0"
"DE0HLAN","DE0HBDG","100.0"
