"source","target","sectionspeed"
"DK00498","DK00500","100.0"
"DK00500","DK00502","100.0"
"DK00502","DK00505","100.0"
"DK00505","DK00508","100.0"
"DK00508","DK00513","100.0"
"DK00513","DK00519","75.0"
"DK00280","DK00954","75.0"
"DK00716","DK00719","75.0"
"DK00719","DK00721","75.0"
"DK00721","DK00723","75.0"
"DK00723","DK00725","75.0"
"DK00725","DK00727","75.0"
"DK00795","DK00800","50.0"
"DK00800","DK00803","90.0"
"DK00803","DK00806","120.0"
"DK00806","DK00812","120.0"
"DK00812","DK00814","100.0"
"DK00815","DK00817","80.0"
"DK00817","DK00822","90.0"
"DK00822","DK00824","90.0"
"DK00824","DK00826","120.0"
"DK00826","DK00828","120.0"
"DK00828","DK00830","90.0"
"DK00830","DK00832","120.0"
"DK00832","DK00834","120.0"
"DK00834","DK00841","120.0"
"DK00803","DK00846","90.0"
"DK00846","DK00848","120.0"
"DK00848","DK00855","120.0"
"DK00855","DK00859","120.0"
"DK00859","DK00863","120.0"
"DK00863","DK00865","120.0"
"DK00822","DK00867","90.0"
"DK00867","DK00869","90.0"
"DK00869","DK00871","100.0"
"DK00871","DK00881","100.0"
"DK00884","DK00886","100.0"
"DK00886","DK00888","120.0"
"DK00888","DK00897","120.0"
"DK00897","DK00899","120.0"
"DK00899","DK00901","120.0"
"DK00901","DK00903","120.0"
"DK00903","DK00908","120.0"
"DK00824","DK00912","100.0"
"DK00913","DK00920","80.0"
"DK00920","DK00926","80.0"
"DK00926","DK00824","80.0"
