"source","target","sectionspeed"
"SEHet","SEGnö","160.0"
"SESru","SEEm","160.0"
"SEKnl","SEBsc","105.0"
"SEHil","SELme","140.0"
"SEKas","SEKac","90.0"
"SEKas","SERby","120.0"
"SESpj","SEGua","135.0"
"SEMdö","SEMyk","90.0"
"SENyb","SEFre","140.0"
"SERäp","SEVö","160.0"
"SEHmö","SESpj","135.0"
"SERym","SEAv","160.0"
"SEGnö","SEHto","160.0"
"SENosk","SEKnl","105.0"
"SEMyk","SEHäy","130.0"
"SEGrm","SEHet","160.0"
"SETre","SEKas","150.0"
"SEVfa","SEHmö","200.0"
"SEGua","SECk","80.0"
"SELme","SEGrm","160.0"
"SELo","SESru","160.0"
"SEHvp","SELo","160.0"
"SERd","SEBoy","125.0"
"SEV","SEBor","160.0"
"SEHås","SERd","130.0"
"SEHäy","SEHås","130.0"
"SEFre","SETre","200.0"
"SEHto","SEV","160.0"
"SEGm","SERäp","160.0"
"SERö","SESae","120.0"
"SEÅrd","SEHvp","160.0"
"SEBsc","SEVfo","110.0"
"SEBsc","SEApd","105.0"
"SEBor","SERym","160.0"
"SEEm","SEVfa","200.0"
"SEEm","SEÖrs","160.0"
"SEVö","SEÅrd","160.0"
"SEBoy","SERö","125.0"
"SEApd","SEHil","105.0"
"SEÖrs","SENyb","160.0"
"SESäp","SETip","200.0"
"SEBoda","SEId","140.0"
"SEGnp","SEGry","135.0"
"SESäu","SEVv","150.0"
"SEMe","SEShv","130.0"
"SEMr","SEMyn","160.0"
"SEMrm","SESur","200.0"
"SEAx","SESäu","200.0"
"SEVia","SESten","125.0"
"SEMyn","SEKn","200.0"
"SEBra","SEMr","160.0"
"SEÖh","SEDma","40.0"
"SEÖh","SETbo","200.0"
"SEEby","SESäy","200.0"
"SESmo","SEHly","140.0"
"SEGry","SETjä","135.0"
"SEBom","SEGä","200.0"
"SESäy","SEU","200.0"
"SEHly","SETdj","160.0"
"SEMyra","SEBoda","200.0"
"SESuc","SENta","110.0"
"SEGön","SEMaj","125.0"
"SEKäe","SELsn","200.0"
"SEHgv","SER","170.0"
"SESur","SEBom","200.0"
"SEUna","SEBna","160.0"
"SESton","SESuc","120.0"
"SEHel","SESol","170.0"
"SEUpv","SESkby","180.0"
"SESten","SEHåg","145.0"
"SESol","SEHgv","170.0"
"SEGäb","SESmo","40.0"
"SEU","SEUna","130.0"
"SEU","SESam","200.0"
"SEKn","SEEby","200.0"
"SEMaj","SENjb","125.0"
"SEKrl","SEAx","200.0"
"SEHkl","SEVia","140.0"
"SEHåg","SEÅmy","140.0"
"SESrv","SESas","200.0"
"SEGä","SESmo","40.0"
"SEGä","SEHg","120.0"
"SELsn","SEMyra","200.0"
"SEGui","SEShv","200.0"
"SEHfj","SEKrl","200.0"
"SETip","SEOs","200.0"
"SETdj","SEHfj","180.0"
"SERs","SEBra","160.0"
"SESik","SESton","120.0"
"SENta","SEBia","140.0"
"SESkby","SERs","160.0"
"SESkby","SEBvr","200.0"
"SEVv","SELsb","10.0"
"SEVv","SEGui","200.0"
"SEId","SEHkl","200.0"
"SETbo","SESäp","200.0"
"SEJlo","SEÖh","200.0"
"SEÅmy","SEGnp","140.0"
"SEOs","SEMrm","200.0"
"SESam","SESrv","200.0"
"SESas","SEJlo","200.0"
"SENjb","SENly","160.0"
"SEShv","SEKäe","200.0"
"SER","SEUpv","180.0"
"SETjä","SEÅkg","140.0"
"SENly","SESik","130.0"
"SEÅkg","SEGön","155.0"
"SESl","SEBdo","160.0"
"SEIn","SELsd","140.0"
"SEIst","SESl","160.0"
"SEGså","SEMrc","140.0"
"SEGtf","SESau","180.0"
"SELsd","SELea","140.0"
"SEJla","SEMå","160.0"
"SELea","SETlg","140.0"
"SEHdm","SEVhy","160.0"
"SERv","SEGså","140.0"
"SESau","SEBlgc","180.0"
"SESt","SEGtf","180.0"
"SEBlgc","SERbä","115.0"
"SEBlgc","SESlnä","125.0"
"SEHy","SEIst","150.0"
"SETlg","SERv","120.0"
"SERt","SESl","130.0"
"SERbä","SEGnf","140.0"
"SERbä","SEMfj","70.0"
"SEMå","SEHy","150.0"
"SEBdo","SERy","160.0"
"SEBna","SEJla","160.0"
"SEMras","SEBbe","40.0"
"SEMrc","SEOrs","80.0"
"SEMrc","SEMras","30.0"
"SEVhy","SESt","140.0"
"SESnb","SELuå","160.0"
"SEGnf","SEIn","140.0"
"SELuå","SEHdm","160.0"
"SEDmn","SEBlgc","65.0"
"SEHlm","SELsl","120.0"
"SEKäv","SEAnö","90.0"
"SEKlr","SESts","140.0"
"SEBrs","SEOxm","140.0"
"SELdl","SEJrn","160.0"
"SEKaä","SEBst","140.0"
"SEHoå","SESop","100.0"
"SEBrg","SEDbn","140.0"
"SEHå","SESngå","110.0"
"SEBjö","SEBj","120.0"
"SEBrd","SEKlbn","135.0"
"SETvä","SEVdn","135.0"
"SEBön","SEGrö","110.0"
"SEHls","SEÅm","90.0"
"SEHls","SEYö","120.0"
"SEBst","SEKrb","140.0"
"SEBst","SEFfs","100.0"
