"source","target","sectionspeed"
"IT06323","IT06322","85.0"
"IT06324","IT06323","85.0"
"IT06227","IT06325","140.0"
"IT06302","IT06303","85.0"
"IT06309","IT06310","75.0"
"IT06310","IT06312","85.0"
"IT06225","IT06226","80.0"
"IT06312","IT06313","100.0"
"IT06308","IT06309","75.0"
"IT06300","IT06301","80.0"
"IT06303","IT06304","85.0"
"IT06301","IT06302","85.0"
"IT06226","IT06227","85.0"
"IT06304","IT06306","85.0"
"IT00950","IT00951","150.0"
"IT00606","IT00950","150.0"
"IT00951","IT00952","150.0"
"IT06055","IT06773","135.0"
"IT06774","IT06772","75.0"
"IT06773","IT06774","135.0"
"IT06510","IT06807","110.0"
"IT06801","IT06802","150.0"
"IT06802","IT06803","150.0"
"IT06806","IT06805","150.0"
"IT06803","IT06806","150.0"
"IT06807","IT06801","110.0"
"IT06826","IT06809","95.0"
"IT06808","IT06826","95.0"
"IT06805","IT06808","90.0"
"IT06812","IT06825","120.0"
"IT06811","IT06812","120.0"
"IT06825","IT06813","90.0"
"IT06809","IT06811","95.0"
"IT06854","IT06855","140.0"
"IT06851","IT06852","120.0"
"IT06850","IT06851","105.0"
"IT06813","IT06850","90.0"
"IT06852","IT06854","120.0"
"IT06855","IT06856","140.0"
"IT07514","IT07554","115.0"
"IT07022","IT07552","115.0"
"IT07023","IT07022","115.0"
"IT07551","IT07555","105.0"
"IT07554","IT07023","115.0"
"IT07557","IT07550","75.0"
"IT07552","IT07024","115.0"
"IT07024","IT07551","115.0"
"IT07556","IT07557","85.0"
"IT07555","IT07556","85.0"
"IT07712","IT07437","140.0"
"IT07704","IT07703","90.0"
"IT07700","IT08539","90.0"
"IT07705","IT07704","90.0"
"IT07811","IT07017","95.0"
"IT07437","IT07710","140.0"
"IT07710","IT07708","150.0"
"IT07025","IT07712","140.0"
"IT07708","IT07707","95.0"
"IT07716","IT07025","140.0"
"IT07706","IT07705","95.0"
"IT07017","IT07716","140.0"
"IT07714","IT07706","95.0"
"IT07707","IT07714","95.0"
"IT07703","IT07700","115.0"
"IT07303","IT07311","75.0"
"IT07312","IT07308","95.0"
"IT07307","IT07313","75.0"
"IT07309","IT07312","90.0"
"IT07506","IT07310","115.0"
"IT07301","IT07300","75.0"
"IT07308","IT07314","75.0"
"IT07305","IT07304","110.0"
"IT07311","IT07302","75.0"
"IT07304","IT07303","75.0"
"IT07302","IT07301","65.0"
"IT07314","IT07307","75.0"
"IT07313","IT07306","75.0"
"IT07306","IT07305","110.0"
"IT07300","IT07207","75.0"
"IT07310","IT07309","115.0"
"IT07000","IT07001","140.0"
"IT07001","IT07011","135.0"
"IT07011","IT07002","110.0"
"IT07014","IT07003","120.0"
"IT07004","IT07005","115.0"
"IT07002","IT07014","120.0"
"IT07020","IT07006","110.0"
"IT06922","IT07000","140.0"
"IT07007","IT07008","120.0"
"IT07013","IT07020","110.0"
"IT07008","IT07009","120.0"
"IT07006","IT07004","115.0"
"IT07010","IT07217","125.0"
"IT07005","IT07012","120.0"
"IT07012","IT07007","120.0"
"IT07003","IT07013","120.0"
"IT07009","IT07010","125.0"
"IT08306","IT08307","85.0"
"IT08309","IT08310","90.0"
"IT08312","IT08313","95.0"
"IT08316","IT08317","95.0"
"IT08304","IT08306","85.0"
"IT08308","IT08309","90.0"
"IT08314","IT08315","90.0"
"IT08310","IT08311","90.0"
"IT08317","IT08318","90.0"
"IT08311","IT08312","95.0"
"IT08307","IT08308","105.0"
"IT08313","IT08314","95.0"
"IT08318","IT08319","90.0"
"IT08315","IT08316","95.0"
"IT00954","IT00742","140.0"
"IT00953","IT00954","140.0"
"IT00952","IT00953","110.0"
"IT08713","IT08709","70.0"
"IT08709","IT08710","90.0"
"IT08706","IT08707","110.0"
"IT08602","IT08705","105.0"
"IT08716","IT08713","110.0"
"IT08714","IT08716","110.0"
"IT08705","IT08706","110.0"
"IT08707","IT08708","110.0"
"IT08708","IT08714","110.0"
"IT08533","IT08532","95.0"
"IT08548","IT08530","85.0"
"IT08534","IT08533","95.0"
"IT08528","IT08552","130.0"
"IT08539","IT08538","90.0"
"IT08552","IT08526","130.0"
"IT08530","IT08550","80.0"
"IT08550","IT08528","85.0"
"IT08536","IT08535","80.0"
"IT08538","IT08537","90.0"
"IT08532","IT08548","95.0"
"IT08535","IT08534","90.0"
"IT08537","IT08536","85.0"
"IT08525","IT08524","150.0"
"IT08510","IT08508","105.0"
"IT08516","IT08515","75.0"
"IT08518","IT08517","95.0"
"IT08524","IT08523","150.0"
"IT08526","IT08525","140.0"
"IT08519","IT08518","95.0"
"IT08521","IT08520","80.0"
"IT08507","IT08506","85.0"
"IT08520","IT08519","80.0"
"IT08523","IT08522","150.0"
"IT08512","IT08511","85.0"
"IT08517","IT08516","75.0"
"IT08508","IT08507","85.0"
"IT08522","IT08521","95.0"
"IT08515","IT08512","85.0"
"IT08511","IT08510","85.0"
"IT08856","IT08815","75.0"
"IT08812","IT08852","75.0"
"IT08853","IT08813","75.0"
"IT08526","IT08850","105.0"
"IT08813","IT08855","75.0"
"IT08814","IT08856","75.0"
"IT08850","IT08810","60.0"
"IT08858","IT08859","65.0"
"IT08816","IT08857","75.0"
"IT08819","IT08861","80.0"
"IT08810","IT08811","60.0"
"IT08859","IT08817","80.0"
"IT08818","IT08819","80.0"
"IT08815","IT08816","75.0"
"IT08820","IT08668","70.0"
"IT08852","IT08853","75.0"
"IT08855","IT08814","75.0"
"IT08817","IT08818","80.0"
"IT08857","IT08858","85.0"
"IT08811","IT08812","75.0"
"IT08861","IT08820","70.0"
"IT08715","IT08712","55.0"
"IT08712","IT08699","55.0"
"IT08711","IT08704","50.0"
"IT08703","IT08711","50.0"
"IT08650","IT08715","55.0"
"IT08701","IT08703","50.0"
"IT08699","IT08701","55.0"
"IT08733","IT08737","105.0"
"IT08737","IT08739","105.0"
"IT08650","IT08730","75.0"
"IT08738","IT08731","105.0"
"IT08731","IT08735","105.0"
"IT08732","IT08733","105.0"
"IT08735","IT08732","105.0"
"IT08730","IT08738","105.0"
"IT08739","IT08734","105.0"
"IT09829","IT09830","85.0"
"IT09824","IT09825","95.0"
"IT09825","IT09826","95.0"
"IT09828","IT09841","95.0"
"IT09831","IT09832","85.0"
"IT09832","IT09842","85.0"
"IT09826","IT09827","95.0"
"IT09823","IT09824","130.0"
"IT09842","IT09833","85.0"
"IT09833","IT09834","85.0"
"IT09834","IT11420","95.0"
"IT09827","IT09828","105.0"
"IT09841","IT09829","95.0"
"IT09830","IT09831","80.0"
"IT09302","IT09211","110.0"
"IT09300","IT09301","150.0"
"IT09301","IT09302","150.0"
"IT09006","IT09300","120.0"
"IT09997","IT09994","100.0"
"IT09005","IT09300","140.0"
"IT09214","IT09995","60.0"
"IT09996","IT09213","100.0"
"IT09990","IT09997","100.0"
"IT09300","IT09990","100.0"
"IT09223","IT09997","30.0"
"IT09451","IT09050","75.0"
"IT09452","IT09456","75.0"
"IT09453","IT09451","120.0"
"IT00743","IT00744","90.0"
"IT00742","IT00743","90.0"
"IT00745","IT04805","95.0"
"IT00744","IT00745","80.0"
"IT09050","IT09053","75.0"
"IT09118","IT09061","90.0"
"IT09058","IT09060","120.0"
"IT09062","IT09203","90.0"
"IT09053","IT09056","95.0"
"IT09056","IT09058","95.0"
"IT09060","IT09118","90.0"
"IT09061","IT09062","90.0"
"IT09213","IT09119","110.0"
"IT09119","IT09700","110.0"
"IT09119","IT09699","30.0"
"IT09701","IT09702","110.0"
"IT09700","IT09701","110.0"
"IT09712","IT09702","100.0"
"IT09712","IT09717","180.0"
"IT09717","IT09714","140.0"
