"source","target","sectionspeed"
"NLASDZO","NLASRA","130.0"
"NLRAI","NLASDZO","130.0"
"NLGPDA","NLDDM","100.0"
"NLGVC","NLGV","40.0"
"NLWM","NLZD","130.0"
"NLSGN","NLHWD","140.0"
"NLHWD","NLAMR","130.0"
"NLUTG","NLWM","130.0"
"NLAMR","NLUTG","130.0"
"NLHDR","NLHDRZ","140.0"
"NLHDRZ","NLANA","140.0"
"NLANA","NLSGN","140.0"
"NLEMNZ","NLEMN","130.0"
"NLHDB","NLGBG","130.0"
"NLDL","NLOMN","140.0"
"NLOMN","NLMRB","140.0"
"NLZL","NLDL","140.0"
"NLCO","NLNA","130.0"
"NLGBG","NLCO","130.0"
"NLNA","NLEMNZ","130.0"
"NLMRB","NLHDB","130.0"
"NLHLG","NLHLGH","100.0"
"NLNSCH","EU00001","100.0"
"NLHDG","NLFWD","140.0"
"NLHLG","NLFN","100.0"
"NLGKA","NLZH","140.0"
"NLBP","NLGKA","140.0"
"NLWHA","NLZB","100.0"
"NLZB","NLSDA","100.0"
"NLGNL","NLWHA","100.0"
"NLFWD","NLBP","140.0"
"NLHGKA","NLGN","140.0"
"NLLW","NLHDG","140.0"
"NLWS","NLNSCH","100.0"
"NLSDA","NLWS","100.0"
"NLZH","NLHGKA","140.0"
"NLFN","NLDRP","100.0"
"NLDRP","NLLW","100.0"
"NLBV","NLUTG","130.0"
"NLSPTN","NLBV","100.0"
"NLHLM","NLSPTN","100.0"
"NLHLM","NLZVT","100.0"
"NLHRL","NLSOG","100.0"
"NLONN","NLWHA","80.0"
"NLRTDBD","NLZHA","140.0"
"NLHVS","NLBKP","130.0"
"NLBKP","NLUTM","60.0"
"NLHWD","NLOBD","100.0"
"NLOBD","NLHN","100.0"
"NLKFH","NLBRPPD","120.0"
"EU00005","NLVL","100.0"
"NLKV","NLMBGA","80.0"
"NLLAA","NLGVC","60.0"
"NLLG","NLKRD","80.0"
"NLHTBA","NLZL","140.0"
"NLKPNZ","NLHTBA","200.0"
"NLSTB","NLDRON","200.0"
"NLLLSOA","NLSTB","200.0"
"NLDRON","NLKPNZ","200.0"
"EU00091","NLWT","40.0"
"NLAMFPON","NLAMF","40.0"
"NLLWD","NLSLOE","40.0"
"NLWK","NLSTV","100.0"
"NLLW","NLMG","130.0"
"NLSKND","NLSK","100.0"
"NLMG","NLSKND","100.0"
"NLSK","NLWK","100.0"
"NLHGV","NLVAMA","140.0"
"NLASN","NLONZ","140.0"
"NLGNL","NLGN","120.0"
"NLKG","NLHGV","140.0"
"NLBL","NLASN","140.0"
"NLONZ","NLONN","140.0"
"NLONN","NLGNL","120.0"
