"source","target","sectionspeed"
"ES12001","ES12002","90.0"
"ES12002","ES12004","90.0"
"ES12004","ES12005","90.0"
"ES12005","ES12006","90.0"
"ES10200","ES12001","90.0"
"ES12009","ES12010","90.0"
"ES12007","ES12008","90.0"
"ES12006","ES12007","90.0"
"ES12008","ES12009","90.0"
"ES12010","ES12011","90.0"
"ES12014","ES12100","95.0"
"ES12013","ES12014","100.0"
"ES12012","ES12013","100.0"
"ES12011","ES12012","90.0"
"ES32005","ES32006","155.0"
"ES10500","ESB3200","155.0"
"ES32009","ES30100","155.0"
"ES32008","ES32009","155.0"
"ES32007","ES32008","155.0"
"ES32006","ES32007","155.0"
"ES32003","ES32004","155.0"
"ES32002","ES32003","155.0"
"ES32004","ES32005","155.0"
"ESB3200","ES32001","155.0"
"ES32001","ES32002","155.0"
"ES30110","ES30023","60.0"
"ESB3001","ES33001","100.0"
"ES30023","ESB3001","100.0"
"ES33015","ES33016","140.0"
"ES33014","ES33015","140.0"
"ES33013","ES33014","140.0"
"ES30100","ES30110","60.0"
"ES33012","ES33013","140.0"
"ES33009","ES33010","140.0"
"ES33008","ES33009","140.0"
"ES33007","ES33008","140.0"
"ES33006","ES33007","140.0"
"ES33004","ES33006","140.0"
"ES33003","ES33004","140.0"
"ES33001","ES33003","140.0"
"ES33011","ES33012","140.0"
"ES33010","ES33011","140.0"
"ES10400","ES34002","105.0"
"ES34008","ES34010","155.0"
"ES34003","ES34004","95.0"
"ES34007","ES34008","155.0"
"ES34005","ES34007","155.0"
"ES34002","ES34003","100.0"
"ES34004","ES34005","90.0"
"ES34013","ES34014","155.0"
"ES34012","ES34013","155.0"
"ES34011","ES34012","155.0"
"ES34010","ES34011","155.0"
"ES34014","ES30100","150.0"
"ES15108","ES15106","105.0"
"ES15108","ES15109","90.0"
"ES15106","ES15103","160.0"
"ESB1511","ES15103","60.0"
"ES15117","ES15118","85.0"
"ES15116","ES15117","85.0"
"ES15115","ES15116","85.0"
"ES15109","ES15110","85.0"
"ES15113","ES15114","90.0"
"ES15114","ES15115","85.0"
"ES15112","ES15110","100.0"
"ES15112","ES15113","90.0"
"ES15100","ESB1511","72.5"
"ES15200","ES15202","125.0"
"ES15123","ES15200","110.0"
"ES15122","ES15123","100.0"
"ES15401","ES15410","90.0"
"ES15301","ES15305","130.0"
"ES15302","ES15303","125.0"
"ES15303","ES15400","105.0"
"ES15300","ES15301","110.0"
"ES15218","ES15211","115.0"
"ES15217","ES15212","122.5"
"ES15214","ES15300","130.0"
"ES15212","ES15214","130.0"
"ES15211","ES15217","115.0"
"ES15210","ES15218","112.5"
"ES15208","ES15209","85.0"
"ES15206","ESB1521","110.0"
"ES15205","ES15206","90.0"
"ES15204","ES15205","90.0"
"ES15203","ES15204","90.0"
"ES15202","ES15203","120.0"
"ES15305","ES15302","130.0"
"ES15400","ES15401","100.0"
"ES15209","ES15210","97.5"
"ES15121","ES15122","50.0"
"ES15118","ES15119","75.0"
"ESB1521","ES15208","97.5"
"ES11000","ES15000","160.0"
"ES15000","ES14100","160.0"
"ESB1507","ESB1509","100.0"
"ES15003","ES15001","180.0"
"ES15003","ES15004","180.0"
"ES15006","ES15004","150.0"
"ES15006","ES15007","155.0"
"ES15007","ES15021","160.0"
"ESB1513","ESB1507","160.0"
"ES15008","ES15009","155.0"
"ES15014","ES15012","155.0"
"ES15014","ES15015","160.0"
"ES15018","ESB1509","100.0"
"ES15018","ESB0826","140.0"
"ESB0826","ES15100","140.0"
"ES15021","ES15008","160.0"
"ESB1505","ES15001","160.0"
"ES15017","ESB1513","157.5"
"ES14100","ESB1505","160.0"
"ES15009","ES15012","140.0"
"ES15017","ES15015","160.0"
"ES15206","ES15207","100.0"
"ESB1521","ES15207","80.0"
"ESB1521","ESB1601","80.0"
"ESB1601","ES16001","85.0"
"ES16001","ES16002","85.0"
"ES16002","ESB1602","85.0"
"ESB1602","ES16005","85.0"
"ES16006","ES16008","130.0"
