"source","target","sectionlength"
"FR0000000944","FR9900000151","0.171"
"FR0000000176","FR0000006028","1.638"
"FR0000007104","FR0000000944","0.555"
"FR9900001191","FR9900000004","0.047"
"FR0000007678","FR9900000151","0.0"
"FR0000007678","FR0000007104","0.038"
"FR0000006871","FR0000008737","1.814"
"FR0000008573","FR0000007419","0.031"
"FR0000008573","FR9900000570","0.0"
"FR0000003596","FR0000008091","5.453"
"FR0000007419","FR0000005086","0.311"
"FR0000005393","FR0000000459","0.352"
"FR0000001598","FR0000007678","1.085"
"FR0000008091","FR0000003393","0.67"
"FR0000005086","FR9900000570","0.211"
"FR9900001660","FR0000005393","0.13"
"FR0000007903","FR9900000119","0.25"
"FR0000008253","FR9900000358","0.0"
"FR0000008253","FR9900001660","0.382"
"FR9900000570","FR9900001466","10.817"
"FR0000004199","FR0000001342","4.152"
"FR0000009589","FR0000003719","0.361"
"FR0000003769","FR0000005454","0.194"
"FR9900001637","FR0000009589","0.129"
"FR0000007646","FR0000009093","1.184"
"FR0000000364","FR9900001637","0.49"
"FR0000005844","FR0000004199","1.238"
"FR9900003976","FR0000000364","0.423"
"FR0000000529","FR0000005844","2.966"
"FR0000016314","FR9900003976","1.035"
"FR0000001209","FR0000000529","0.284"
"FR0000005322","FR0000008496","1.08"
"FR0000009093","FR9900000241","0.0"
"FR0000009093","FR0000007978","0.122"
"FR9900001466","FR0000001843","0.179"
"FR9900000260","FR0000001209","0.044"
"FR0000008496","FR9900000518","1.167"
"FR0000009094","FR9900000260","0.677"
"FR0000008335","FR9900001360","2.937"
"FR9900004545","FR0000009434","0.291"
"FR0000003719","FR0000001598","0.092"
"FR0000005841","FR9900004545","1.621"
"FR0000003524","FR0000002598","1.415"
"FR0000009679","FR9900000560","0.0"
"FR0000009679","FR9900002137","0.779"
"FR0000001795","FR0000008820","0.094"
"FR9900002137","FR9900000560","0.326"
"FR0000002598","FR0000007114","0.953"
"FR0000007978","FR0000005013","0.385"
"FR9900000933","FR9900003564","0.051"
"FR9900000004","FR0000009094","0.144"
"FR0000002504","FR9900000071","0.201"
"FR0000005968","FR0000000043","0.524"
"FR9900003974","FR0000007503","0.005"
"FR0000005013","FR9900000241","0.425"
"FR9900000233","FR9900000933","0.27"
"FR0000006028","FR9900004545","0.0"
"FR0000006028","FR0000005841","0.001"
"FR0000009295","FR9900000933","0.0"
"FR0000009295","FR9900000233","0.195"
"FR0000005454","FR0000009679","0.195"
"FR9900000235","FR0000009295","0.293"
"FR9900001319","FR0000001193","0.045"
"FR9900000147","FR0000002504","0.296"
"FR0000005389","FR9900000233","0.0"
"FR0000005389","FR9900000235","1.198"
"FR0000007503","FR0000007684","0.003"
"FR0000007684","FR0000009230","0.159"
"FR9900003564","FR0000001135","0.074"
"FR0000001135","FR0000015844","1.195"
