TRACK_NUM;DIRECTION;KM_I;KM_L;DESCRIPTION;UNIT_KIND;SHORTCUT;GK_R_DGN;GK_H_DGN;LAT;LONG
1040;0;114310020;143,1 + 20;Schuby;Rerout;ASY;3530891,047;6043645,262;54,52166949;9,47588902
1040;0;114940027;149,4 + 27;Juebek;St;AJ;3526188,688;6047848,05;54,5596885;9,40364319
1040;0;116190074;161,9 + 74;Tarp;Sp;ATP;3525786,955;6059555,58;54,66488061;9,39845952
1040;0;117290016;172,9 + 16;Flensburg Switch;St;AFW;3525734,001;6069949,051;54,75824882;9,39855346
1040;0;117620030;176,2 + 30;Flensburg;St;AF;3528132,808;6071715,352;54,7739873;9,43598426
1042;0;100000026;0,0 + 26;Neumuenster;St;AN;3564197,997;5994421,738;54,07639695;9,9796452
1042;0;100200030;2,0 + 30;Neumuenster Stadtwald;Sp;ANSW;3563081,7;5995190,754;54,08344265;9,96275315
1042;0;100630080;6,3 + 80;Wasbek;Sp;AWA;3558831,035;5994259,902;54,07558283;9,89762987
1042;0;101380034;13,8 + 34;Aukrug;Sp;AAU;3551502,985;5994934,736;54,08242831;9,78580253
1042;0;102270031;22,7 + 31;Hohenwestedt;St;AHWT;3542830,335;5995326,459;54,08673988;9,65335043
1042;0;102810066;28,1 + 66;Osterstedt;Sp;AODT;3537666,864;5997023,912;54,10239199;9,57466022
1042;0;103080098;30,8 + 98;Beringstedt;Sp;ABGS;3535258,786;5998255,057;54,11362252;9,53799237
1042;0;103560028;35,6 + 28;Gokels;Sp;AGK;3530715,572;5998830,842;54,11908578;9,46858153
1042;0;103910085;39,1 + 85;Hademarschen;Sp;AHNU;3527215,892;5999223,852;54,12281301;9,41509661
1042;0;104310000;43,1 + 0;Beldorf;Sp;ABE;3523323,395;5999466,175;54,12518062;9,35558198
1042;0;104840022;48,4 + 22;Albersdorf;Sp;AAL;3519209,291;6001767,757;54,14602758;9,29280119
1042;0;105620060;56,2 + 60;Nordhastedt;Sp;ANH;3511858,117;6004293,762;54,16894245;9,1804038
1042;0;106260000;62,6 + 0;Heide (Holst);St;AHI;3506668,541;6007099,463;54,19424192;9,1010042
1043;0;107460059;74,6 + 59;Neumuenster;St;AN;3564240,673;5994410,719;54,07629265;9,98029476
1043;0;107530020;75,3 + 20;Neumuenster DB-Grenze;Bp;ANMG;3564016,267;5993791,435;54,07075754;9,97673628
1043;0;107850000;78,5 + 0;Neumuenster Sued DB-Grenze;Bp;ANSG;3565745,374;5991488,515;54,04985329;10,00264691
1043;0;108320044;83,2 + 44;Kleinkummerfeld;St o.S.;AKD;3569378,067;5988435,9;54,02195718;10,05740495
1043;0;109100007;91,0 + 7;Rickling;Sp;ARL;3576683,453;5986003,148;53,99907319;10,16823325
1043;0;109680032;96,8 + 32;Wahlstedt;Sp;AWAH;3580776,15;5981863,242;53,96126448;10,22953413
1043;0;109930063;99,3 + 63;Fahrenkrug;Stp;AFK;3582356,725;5979961,375;53,94393254;10,25309687
1043;0;110310043;103,1 + 43;Bad Segeberg;St;ASB;3585968,127;5978920,363;53,93399581;10,30778887
1043;0;110810073;108,1 + 73;Altengoers;Sp;AAT;3589159,833;5975078,884;53,89895284;10,35525291
1043;0;111200005;112,0 + 5;Wakendorf;Sp;AWK;3589911,793;5971470,788;53,8664153;10,36563233
1043;0;111530023;115,3 + 23;Fresenburg;Sp;AFN;3591614,199;5968791,021;53,84204859;10,39070465
1043;0;111950074;119,5 + 74;Bad Oldesloe;St;AO;3591150,324;5964694,969;53,80533924;10,38244755
1100;0;100000000;0,0 + 0;Luebeck Main Station;St;AL;3609890,979;5972062,995;53,86789467;10,66942723
1100;0;100460099;4,6 + 99;Schwartau Waldhalle;Swch;AWR;3611299,712;5976385,685;53,90641539;10,69240067
1100;0;100600002;6,0 + 2;Bad Schwartau;Sp;ASCH;3611951,901;5977507,021;53,91634534;10,70272938
1100;0;100640043;6,4 + 43;Bad Schwartau Swch;Swch;ASCA;3612183,856;5977882,383;53,91966619;10,70639545
1100;0;101050088;10,5 + 88;Ratekau;St;ARAT;3614524,352;5981297,61;53,94982463;10,74328048
1100;0;101570066;15,7 + 66;Timmendorfer Strand;St;ATIM;3615641,352;5986284,612;53,9943607;10,7621749
1100;0;101860098;18,6 + 98;Scharbeutz;St;ASAZ;3614489,54;5988974,302;54,01877078;10,74563156
1100;0;102300044;23,0 + 44;Haffkrug;St;AHAF;3614181,052;5992907,029;54,05415554;10,74240394
1100;0;102540000;25,4 + 0;Sierksdorf;St;ASID;3615859,409;5994545,089;54,06849141;10,7686444
1100;0;102900067;29,0 + 67;Neustadt (Holst) GSt;St;ANN;3617487,88;5997610,407;54,09564927;10,79469425
1100;0;103440067;34,4 + 67;Hasselburg;St;AHSG;3619235,902;6002484,942;54,13901952;10,82331948
1100;0;103830065;38,3 + 65;Groß Schlamin;St;AGR;3621800,629;6005336,062;54,16402028;10,86369084
1100;0;104160084;41,6 + 84;Beschendorf;St;ABDF;3622493,809;6008537,703;54,19260408;10,87559852
1100;0;104490063;44,9 + 63;Lensahn;St;ALS;3623390,088;6011627,001;54,2201289;10,89058899
1100;0;104700096;47,0 + 96;Gruener Hirsch;St;AGHI;3623108,244;6013716,513;54,23895865;10,88712641
1100;0;105220072;52,2 + 72;Oldenburg (Holst);St;AOL;3622682,276;6018716,957;54,28396039;10,8826418
1100;0;105660003;56,6 + 3;Goehl;St;AGOE;3626517,683;6019230,742;54,28764008;10,94171537
1100;0;106430049;64,3 + 49;Neukirchen (Holst);St;ANEK;3632160,718;6023629,424;54,32570681;11,03025783
1100;0;107040090;70,4 + 90;Großenbrode;St;AGRO;3635336,9;6028262,541;54,36647154;11,08114462
1100;0;107780024;77,8 + 24;Strukkamp;St;ASTK;3638411,415;6034792,97;54,42427441;11,13145199
