"id","extralabel","name","latitude","longitude"
"FR0000004085","Station","Pagny-sur-Meuse","48.6967381","5.7337993"
"FR0000007625","PrivateSiding","Atochem N° 4","45.0884691","5.7351746"
"FR0000006093","DepotOrWorkshop","Faisceau Pair V4 à V12","48.696001","5.7354246"
"FR0000009416","DepotOrWorkshop","Faisceau pair","48.6959584","5.7355571"
"FR0000009320","DepotOrWorkshop","Faisceau pair","45.088171","5.7362174"
"FR0000009648","PrivateSiding","Atochem N°  2","45.0863576","5.7414158"
"FR0000008009","DepotOrWorkshop","Faisceau Impair","48.8433462","5.7414852"
"FR0000003166","Station","Jarrie-Vizille","45.0853525","5.742299"
"FR0000015352","Junction","Accès à Faisceau pair","45.0835282","5.7425144"
"FR0000008113","DepotOrWorkshop","Faisceau Buzy(Meuse)","49.1651738","5.7442296"
"FR0000006491","DepotOrWorkshop","Faisceau V32 à V36","48.6936469","5.7475908"
"FR0000003294","Station","Bandol","43.1404579","5.7501243"
"FR9900001678","FreightTerminal","Réhon","49.5013966","5.7546955"
"FR0000008383","DepotOrWorkshop","Nouveau Faisceau","49.5014804","5.7547678"
"FR9900003746","Junction","Bif 905000/912000 (Aspres)","44.517926","5.7548675"
"FR9900004636","DepotOrWorkshop","Faisceau pair","44.5204417","5.7552348"
"FR9900001228","DepotOrWorkshop","Faisceau Impair Lamarche","48.0911062","5.7555988"
"FR0000006619","DepotOrWorkshop","Faisceau Pair","45.8501427","5.7560223"
"FR9900003806","DepotOrWorkshop","Faisceau impair","44.5220711","5.7568334"
"FR0000005800","DepotOrWorkshop","Faisceau Impair","45.8492758","5.7582901"
"FR9900000350","Junction","Accès à Faisceau Impair Lamarche","48.0903154","5.7597343"
"FR9900001509","Station","Lamarche","48.0901379","5.7604147"
"FR0000014102","Junction","Accès à Nouveau Faisceau","49.5084059","5.76195"
"FR9900001210","DepotOrWorkshop","Faisceau Pair Lamarche","48.0899171","5.7620223"
"FR0000003571","Station","Arbois","46.912499","5.7648624"
"FR0000004108","Station","Lépin-le-Lac-La Bauche","45.541607","5.7648771"
"FR0000001894","Junction","Bif 202000/203000","49.5102694","5.7670899"
"FR0000016665","TechnicalChange","Fin de ligne exploitée","49.5104337","5.7674782"
"FR0000008379","DepotOrWorkshop","Faisceau V1 à V8","49.5108981","5.7677635"
"FR0000004019","Station","Longwy","49.5128384","5.7689751"
"FR0000009205","DepotOrWorkshop","Faisceau Grill","45.8449504","5.7696302"
"FR0000010589","Junction","Accès à Faisceau Impair","45.8444742","5.7708606"
"FR0000008488","DepotOrWorkshop","Faisceau local","45.8441653","5.7717097"
"FR0000011695","Junction","Accès à Faisceau Pair","45.8440041","5.7723095"
"FR0000000912","Junction","Bif 890000/900000","45.8439671","5.772448"
"FR0000006934","DepotOrWorkshop","Faisceau pair 4 et 6","47.8289426","5.77563"
"FR0000001142","Junction","Bif 850000/871000","47.0308405","5.7761793"
"FR0000002172","Station","Arc-et-Senans","47.0303469","5.7767306"
"FR0000002423","Station","Culoz","45.8431211","5.77871"
"FR9900003969","DepotOrWorkshop","Faisceau impair 3","47.8315045","5.7798423"
"FR0000005751","DepotOrWorkshop","Faisceau V11 à V15","45.8443039","5.7839788"
"FR0000000321","Junction","Bif de Genève (Culoz)","45.8406216","5.7844345"
"FR0000001351","Junction","Bif 890306/900000","45.8441671","5.7845104"
"FR0000002920","Station","Grenoble-Université-Gières","45.18509","5.7845935"
"FR9900001596","FreightTerminal","Mont-St-Martin","49.5347199","5.7858899"
